source_path,url_path,coverage,profile_source,exclusion_category,exclusion_reason
404.html,/404.html,excluded,—,error,Специальный документ ошибки сохраняет компактный recovery-интерфейс и сокращённый footer вместо стандартной общей оболочки.
ceny/index.html,/ceny/,profiled,explicit,—,—
index.html,/,profiled,explicit,—,—
kak-rabotaem/index.html,/kak-rabotaem/,profiled,explicit,—,—
kontakty/index.html,/kontakty/,profiled,explicit,—,—
o-mastere/index.html,/o-mastere/,profiled,explicit,—,—
politika/index.html,/politika/,excluded,—,legal,"Юридическая страница использует сокращённую навигацию и минимальный footer, чтобы не смешивать политику обработки данных с коммерческим сценарием."
portfolio/index.html,/portfolio/,profiled,explicit,—,—
pozvonit-ivanu/index.html,/pozvonit-ivanu/,excluded,—,campaign,Noindex-памятка звонка сохраняет отдельные call-first CTA и собственные data-call-source маркеры для атрибуции звонков.
resheniya/dlya-rieltorov-i-sobstvennikov/index.html,/resheniya/dlya-rieltorov-i-sobstvennikov/,profiled,family:solutions,—,—
resheniya/index.html,/resheniya/,profiled,explicit,—,—
resheniya/obnovit-pol-posle-arendatorov/index.html,/resheniya/obnovit-pol-posle-arendatorov/,profiled,family:solutions,—,—
resheniya/podgotovit-parket-k-prodazhe-kvartiry/index.html,/resheniya/podgotovit-parket-k-prodazhe-kvartiry/,profiled,family:solutions,—,—
resheniya/podgotovka-kvartiry-k-prodazhe/index.html,/resheniya/podgotovka-kvartiry-k-prodazhe/,profiled,family:solutions,—,—
resheniya/remont-posle-arendatorov/index.html,/resheniya/remont-posle-arendatorov/,profiled,family:solutions,—,—
sovety/belye-pyatna-na-parkete/index.html,/sovety/belye-pyatna-na-parkete/,profiled,family:articles,—,—
sovety/carapiny-na-parkete-chto-delat/index.html,/sovety/carapiny-na-parkete-chto-delat/,profiled,family:articles,—,—
sovety/ciklevka-ili-zamena-parketa/index.html,/sovety/ciklevka-ili-zamena-parketa/,profiled,family:articles,—,—
sovety/ciklevka-parketa-do-ili-posle-remonta/index.html,/sovety/ciklevka-parketa-do-ili-posle-remonta/,profiled,family:articles,—,—
sovety/index.html,/sovety/,profiled,explicit,—,—
sovety/kak-podgotovit-komnatu-k-ciklevke/index.html,/sovety/kak-podgotovit-komnatu-k-ciklevke/,profiled,family:articles,—,—
sovety/kak-ponyat-chto-parket-mozhno-lakirovat/index.html,/sovety/kak-ponyat-chto-parket-mozhno-lakirovat/,profiled,family:articles,—,—
sovety/kak-prinyat-rabotu-posle-ciklevki-parketa/index.html,/sovety/kak-prinyat-rabotu-posle-ciklevki-parketa/,profiled,family:articles,—,—
sovety/kak-proverit-shlifovku-parketa-pered-lakom/index.html,/sovety/kak-proverit-shlifovku-parketa-pered-lakom/,profiled,family:articles,—,—
sovety/kak-provetrivat-komnatu-posle-lakirovki-parketa/index.html,/sovety/kak-provetrivat-komnatu-posle-lakirovki-parketa/,profiled,family:articles,—,—
sovety/kak-sfotografirovat-pol-dlya-ocenki/index.html,/sovety/kak-sfotografirovat-pol-dlya-ocenki/,profiled,family:articles,—,—
sovety/kak-ubrat-pyl-posle-ciklevki-pered-lakom/index.html,/sovety/kak-ubrat-pyl-posle-ciklevki-pered-lakom/,profiled,family:articles,—,—
sovety/kak-uhazhivat-za-parketom-letom/index.html,/sovety/kak-uhazhivat-za-parketom-letom/,profiled,family:articles,—,—
sovety/kak-uhazhivat-za-parketom-osenyu/index.html,/sovety/kak-uhazhivat-za-parketom-osenyu/,profiled,family:articles,—,—
sovety/kak-uhazhivat-za-parketom-vesnoy/index.html,/sovety/kak-uhazhivat-za-parketom-vesnoy/,profiled,family:articles,—,—
sovety/kak-uhazhivat-za-parketom-zimoy/index.html,/sovety/kak-uhazhivat-za-parketom-zimoy/,profiled,family:articles,—,—
sovety/kak-vybrat-mastera-po-parketu/index.html,/sovety/kak-vybrat-mastera-po-parketu/,profiled,family:articles,—,—
sovety/kak-zashchitit-parket-ot-mebeli/index.html,/sovety/kak-zashchitit-parket-ot-mebeli/,profiled,family:articles,—,—
sovety/kakoy-lak-vybrat-dlya-parketa/index.html,/sovety/kakoy-lak-vybrat-dlya-parketa/,profiled,family:articles,—,—
